Specification,Network file,Epsilon,Delta,Time taken,Upper bound,Lower bound,SAT
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,1,43.335456132888794,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,2,38.1043701171875,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,3,38.895792722702026,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,4,39.06851410865784,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,5,38.533955812454224,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,6,37.61984610557556,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,7,38.37774205207825,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,8,39.487159967422485,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,9,37.873404026031494,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,10,39.28223204612732,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,11,38.551841020584106,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,12,37.88568997383118,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,13,38.4229531288147,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,14,39.0555419921875,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,15,39.178027629852295,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,16,39.11766600608826,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,17,38.41310000419617,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,18,38.78292775154114,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,19,36.95077085494995,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.05,20,38.696346044540405,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,1,39.03537726402283,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,2,38.71587800979614,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,3,38.70143508911133,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,4,38.50075387954712,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,5,38.359052896499634,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,6,37.249762773513794,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,7,39.950145959854126,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,8,52.542643308639526,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,9,49.32326698303223,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,10,42.397392988204956,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,11,40.851866006851196,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,12,37.85727882385254,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,13,38.94051909446716,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,14,38.7456488609314,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,15,38.01957297325134,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,16,37.974199056625366,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,17,39.15660214424133,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,18,38.72560000419617,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,19,38.76929473876953,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.060000000000000005,20,39.4910089969635,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,1,38.36154294013977,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,2,37.654361963272095,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,3,37.75272607803345,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,4,38.900230884552,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,5,37.06060004234314,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,6,30.354606866836548,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,7,30.129431009292603,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,8,29.84719181060791,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,9,28.77427911758423,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,10,29.070999145507812,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,11,29.578646898269653,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,12,28.86668586730957,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,13,29.686450958251953,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,14,29.604528188705444,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,15,28.598482847213745,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,16,29.658954858779907,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,17,30.149086952209473,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,18,28.852211952209473,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,19,28.732447624206543,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.07,20,31.008465051651,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,1,30.267085790634155,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,2,29.694022178649902,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,3,29.35961604118347,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,4,29.450704097747803,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,5,28.406673192977905,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,6,30.17061710357666,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,7,29.8385009765625,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,8,29.30379295349121,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,9,30.188457012176514,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,10,29.42547583580017,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,11,29.66420078277588,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,12,29.157854795455933,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,13,29.43471908569336,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,14,30.110135078430176,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,15,29.460122108459473,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,16,29.967207193374634,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,17,30.729984998703003,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,18,29.402276754379272,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,19,29.079262018203735,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.08000000000000002,20,30.27735209465027,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,1,30.57242512702942,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,2,30.001357793807983,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,3,31.205985069274902,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,4,29.6839337348938,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,5,30.650249004364014,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,6,30.9203200340271,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,7,30.24735403060913,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,8,29.234611988067627,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,9,30.502635955810547,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,10,27.43352699279785,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,11,27.749710083007812,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,12,27.421191215515137,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,13,27.70976185798645,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,14,27.091461896896362,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,15,27.061930179595947,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,16,27.101492881774902,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,17,27.032968044281006,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,18,29.390089988708496,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,19,29.11525797843933,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.09000000000000001,20,29.948004245758057,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.1,1,29.30474591255188,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.1,2,29.388720989227295,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.1,3,26.901020050048828,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.1,4,27.098599195480347,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp3.onnx,0.1,5,27.10142707824707,,,True
