Specification,Network file,Epsilon,Delta,Time taken,Upper bound,Lower bound,SAT
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,1,94.91842603683472,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,2,95.25957703590393,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,3,93.42329502105713,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,4,93.0382981300354,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,5,94.68854022026062,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,6,94.20601916313171,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,7,96.1720678806305,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,8,95.30009078979492,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,9,94.31475615501404,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,10,91.56428003311157,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,11,94.69449496269226,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,12,94.28256273269653,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,13,94.36300683021545,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,14,94.36581993103027,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,15,93.88453912734985,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,16,95.23253607749939,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,17,95.40361595153809,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,18,94.61900997161865,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,19,95.00938081741333,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.05,20,93.7511351108551,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,1,93.16659998893738,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,2,94.1726131439209,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,3,96.34212398529053,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,4,93.5205750465393,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,5,96.1502480506897,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,6,98.96087098121643,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,7,100.82911705970764,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,8,96.24949407577515,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,9,94.3755247592926,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,10,94.7852840423584,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,11,93.87357187271118,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,12,97.17704391479492,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,13,94.99974513053894,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,14,95.7567789554596,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,15,95.7916088104248,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,16,97.52726197242737,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,17,97.52588510513306,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,18,95.31649208068848,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,19,94.89732885360718,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.060000000000000005,20,96.11499500274658,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.07,1,95.42493677139282,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp2.onnx,0.07,2,95.5440399646759,,,True
