Specification,Network file,Epsilon,Delta,Time taken,Upper bound,Lower bound,SAT
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,1,36.05130195617676,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,2,28.480558156967163,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,3,30.24754524230957,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,4,28.379167318344116,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,5,20.591550827026367,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,6,37.75670599937439,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,7,36.47921085357666,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,8,35.91077184677124,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,9,42.21942710876465,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,10,35.547765016555786,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,11,34.111258029937744,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,12,36.44602584838867,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,13,33.27460503578186,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,14,40.3572051525116,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,15,40.24080991744995,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,16,42.53586411476135,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,17,35.126091957092285,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,18,43.60406994819641,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,19,37.34663105010986,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.05,20,32.09896922111511,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,1,33.699843883514404,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,2,53.9748969078064,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,3,34.635064125061035,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,4,40.92683696746826,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,5,41.08379793167114,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,6,37.60799288749695,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,7,47.07394313812256,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,8,29.504590034484863,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,9,26.151498794555664,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,10,25.710586071014404,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,11,26.43424677848816,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,12,26.915220975875854,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,13,25.884443998336792,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,14,25.657994985580444,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,15,26.00762701034546,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,16,26.18713092803955,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,17,26.04657006263733,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,18,25.36149573326111,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,19,25.954828023910522,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.060000000000000005,20,26.392396926879883,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,1,26.608723878860474,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,2,25.63856792449951,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,3,26.151724100112915,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,4,25.65986680984497,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,5,26.435188055038452,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,6,25.75351595878601,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,7,25.701615810394287,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,8,25.397082805633545,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,9,25.4000461101532,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,10,25.554487228393555,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,11,25.30390977859497,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,12,25.353923082351685,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,13,25.987923860549927,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,14,25.21083688735962,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,15,25.592021942138672,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,16,25.999616861343384,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,17,25.94755792617798,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,18,26.199326992034912,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,19,25.704103708267212,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.07,20,26.14898920059204,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.08000000000000002,1,25.549460887908936,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.08000000000000002,2,25.611204147338867,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.08000000000000002,3,25.84317898750305,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.08000000000000002,4,25.598090887069702,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.08000000000000002,5,25.500509023666382,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.08000000000000002,6,25.94904398918152,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp5.onnx,0.08000000000000002,7,25.860495805740356,,,True
