Specification,Network file,Epsilon,Delta,Time taken,SAT
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,1,22.208289623260498,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,2,18.602649927139282,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,3,36.42633414268494,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,4,27.058801889419556,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,5,21.63351607322693,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,6,48.492023229599,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,7,48.551149129867554,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,8,22.009382009506226,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,9,20.588032960891724,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,10,23.112377882003784,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,11,29.400994777679443,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,12,21.68476176261902,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,13,21.592829942703247,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,14,25.893646001815796,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,15,20.198057174682617,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,16,20.772381067276,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,17,20.726402759552002,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,18,20.95511794090271,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,19,20.571420907974243,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.05,20,21.305044889450073,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,1,18.23047399520874,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,2,18.53136682510376,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,3,19.725924015045166,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,4,32.78650975227356,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,5,32.05956196784973,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,6,33.60178208351135,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,7,25.364351987838745,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,8,44.780516147613525,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,9,20.410978078842163,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,10,23.66814613342285,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,11,29.168564796447754,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,12,29.50792407989502,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,13,29.412522792816162,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,14,23.96398901939392,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,15,23.423660039901733,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,16,22.686583995819092,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,17,24.58749270439148,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,18,22.25168800354004,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,19,23.68796992301941,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.060000000000000005,20,22.55257296562195,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,1,17.915499925613403,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,2,18.967945098876953,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,3,21.196351051330566,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,4,18.644843101501465,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,5,17.24013900756836,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,6,18.191526889801025,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,7,19.178421020507812,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,8,19.36871600151062,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,9,17.654484033584595,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,10,18.021795988082886,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,11,18.861763954162598,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,12,16.689617156982422,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,13,18.197224855422974,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,14,16.239208936691284,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,15,17.509976148605347,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,16,18.07152795791626,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,17,16.640913009643555,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,18,17.393007040023804,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,19,17.523870944976807,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.07,20,19.22965407371521,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,1,14.033746004104614,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,2,16.922416925430298,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,3,15.000455856323242,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,4,15.578325033187866,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,5,14.32725715637207,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,6,15.367266178131104,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,7,15.558465003967285,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,8,15.785887002944946,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,9,15.173638105392456,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,10,14.291855096817017,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,11,16.207494020462036,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,12,15.414058923721313,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,13,14.21097207069397,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,14,16.322860956192017,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,15,15.486677169799805,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,16,14.128053903579712,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,17,13.808846235275269,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,18,16.211539268493652,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,19,13.957030057907104,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.08000000000000002,20,14.53339958190918,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,1,20.735975742340088,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,2,25.31879687309265,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,3,20.103216886520386,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,4,26.302042245864868,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,5,18.24472188949585,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,6,35.42708206176758,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,7,54.26667809486389,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,8,50.985766887664795,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,9,47.57566285133362,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,10,21.155634880065918,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,11,26.16701316833496,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,12,20.658857107162476,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,13,74.12842631340027,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,14,21.444722890853882,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,15,21.35989785194397,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,16,32.16592979431152,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,17,20.636168956756592,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,18,19.757134914398193,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,19,24.516055822372437,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.09000000000000001,20,23.103765964508057,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,1,15.662681818008423,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,2,17.789939880371094,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,3,23.422165632247925,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,4,27.71062207221985,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,5,22.96472191810608,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,6,28.414506912231445,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,7,18.56209111213684,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,8,23.626327991485596,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,9,21.992619037628174,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,10,24.75745391845703,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp3.onnx,0.1,11,25.269057750701904,True
