Specification,Network file,Epsilon,Delta,Time taken,SAT
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,1,19.490641117095947,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,2,15.759060144424438,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,3,21.14479923248291,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,4,43.96336913108826,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,5,63.56707286834717,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,6,38.406182050704956,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,7,27.496870279312134,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,8,37.20958590507507,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,9,36.56000995635986,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,10,39.313881158828735,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,11,58.67165398597717,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,12,35.955820083618164,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,13,39.85177493095398,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,14,52.769574880599976,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,15,26.768577098846436,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,16,28.108657836914062,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,17,76.47554779052734,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,18,45.154815912246704,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,19,51.85405993461609,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.05,20,45.68244504928589,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,1,22.352975130081177,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,2,18.167989015579224,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,3,23.23831009864807,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,4,28.09844398498535,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,5,33.4386100769043,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,6,17.605329036712646,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,7,17.060266971588135,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,8,22.08893895149231,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,9,16.7409451007843,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,10,20.352213859558105,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,11,14.303258895874023,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,12,16.402629852294922,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,13,14.941323041915894,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,14,21.95199990272522,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,15,16.43961477279663,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,16,17.751412868499756,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,17,22.3652560710907,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,18,31.990044116973877,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,19,18.651517152786255,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.060000000000000005,20,16.4912052154541,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,1,13.502126932144165,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,2,14.760087728500366,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,3,17.68669605255127,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,4,15.009024858474731,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,5,35.38487982749939,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,6,38.06319308280945,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,7,27.73642873764038,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,8,29.24842596054077,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,9,16.954796075820923,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,10,31.085831880569458,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,11,18.753906965255737,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,12,14.95586085319519,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,13,14.090342998504639,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,14,14.24626088142395,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,15,13.99959921836853,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,16,14.239933013916016,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,17,14.100165843963623,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,18,14.454921007156372,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,19,14.15074896812439,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.07,20,14.092128038406372,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,1,11.698414087295532,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,2,15.31171202659607,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,3,18.386220932006836,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,4,24.90241312980652,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,5,41.94868278503418,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,6,45.7492618560791,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,7,49.799174070358276,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,8,39.94799304008484,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,9,40.45309805870056,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,10,44.303950786590576,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,11,18.04589581489563,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,12,17.148886919021606,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,13,16.248322010040283,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,14,17.350769758224487,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,15,40.598203897476196,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,16,25.717710971832275,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,17,48.81609511375427,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,18,54.655677795410156,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,19,38.29789900779724,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.08000000000000002,20,36.086681842803955,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,1,16.9514319896698,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,2,19.636848211288452,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,3,25.055143356323242,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,4,30.565911054611206,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,5,56.744998931884766,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,6,64.69506001472473,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,7,70.04997992515564,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,8,63.93400001525879,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,9,21.806380033493042,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,10,23.522685050964355,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,11,21.88381600379944,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,12,28.148375749588013,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,13,26.553716897964478,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,14,28.029319047927856,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,15,27.390884160995483,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,16,27.212017059326172,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,17,27.595515727996826,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,18,28.21749186515808,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,19,27.457844972610474,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.09000000000000001,20,28.562175035476685,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,1,20.45523476600647,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,2,25.27172589302063,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,3,26.566983938217163,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,4,43.334319829940796,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,5,27.7986319065094,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,6,25.098002910614014,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,7,27.548863172531128,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,8,68.27637672424316,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,9,55.485584020614624,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,10,68.4080822467804,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,11,67.39067697525024,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,12,43.32657289505005,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,13,33.13275694847107,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,14,33.0550479888916,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,15,38.61683487892151,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,16,41.8326530456543,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,17,50.255598068237305,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,18,50.68376684188843,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,19,48.7862708568573,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.1,20,43.139447927474976,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,1,16.259286880493164,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,2,18.942879915237427,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,3,26.2116596698761,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,4,17.751179933547974,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,5,26.43238377571106,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,6,22.713899850845337,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,7,22.9228458404541,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,8,57.56619691848755,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,9,60.37753200531006,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,10,29.037797927856445,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,11,26.44713306427002,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,12,28.89591670036316,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,13,26.790255069732666,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,14,55.50617074966431,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,15,30.138442039489746,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,16,34.15448594093323,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,17,35.206289291381836,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,18,34.10514497756958,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,19,53.36418008804321,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.11000000000000001,20,44.8275351524353,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.12000000000000001,1,20.543882846832275,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.12000000000000001,2,17.767925262451172,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.12000000000000001,3,18.882425785064697,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.12000000000000001,4,29.45883798599243,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp1.onnx,0.12000000000000001,5,41.248124837875366,True
